Unnamed: 0,Brown_Dwarf_Name,Constellation,Apparent_Magnitude,Distance_BrownDwarf,Mass_BrownDwarf,Radius_BrownDwarf,Gravity_Dwarf,Discovery_year,V_mag,Star_name,Distance_Star,Mass_Star,Radius_Star,Gravity_Star
0,2MASS 0036+1821,Pisces,12.47,28.6,7.974437234399999e+28,67202685.95399994,173387415388997.4 m/s2,2000.0,0.000−26.74,Sun,0.000015813,1.989e+30,695700000.0,40353533361789.91 m/s2
1,Teegarden's star,Aries,15.4,12.578,1.5189404256e+29,90795118.25699992,180928313375455.7 m/s2,2003.0,0.001−1.46,Sirius,0008.6,4.1769e+30,1189647000.0,28980684675544.207 m/s2
2,DEN 0255-4700,Eridanus,22.92,16.2,1.5189404256e+29,69347452.52699994,310149087727997.2 m/s2,2006.0,0.003−0.74,Canopus,0310,2.9835e+31,49394700000.0,120075977073.36812 m/s2
3,2MASS J03552337+1133437,Taurus,14.05,29.8,3.797351064e+28,94369729.212,41870304844362.95 m/s2,2006.0,0.004−0.27,Alpha Centauri,0004.4,2.1879e+30,834840000.0,30825615762478.402 m/s2
4,2MASS J04151954−0935066,Eridanus,15.7,18.6,5.696026596e+28,67917608.14499994,121254547081692.17 m/s2,2002.0,0.005−0.05,Arcturus,0037,2.1879e+30,18088200000.0,65664033576.877075 m/s2
5,LSR 0602+3910 [de],Auriga,20.88,34.6,5.3162914895999995e+28,100804028.93099992,51374049004147.37 m/s2,2003.0,0.03,Vega,0025,4.3758e+30,1878390000.0000002,12178021041966.775 m/s2
6,DENIS J081730.0-615520,Carina,13.6,16.1,8.3541723408e+28,67202685.95399994,181643958978949.7 m/s2,2010.0,0.08,Capella,0043,5.1714e+30,8348400000.0,728605463476.7625 m/s2
7,2MASS 0939−2448,Antlia,16.83,17.4,6.0757617024e+28,67917608.14499994,129338183553805.02 m/s2,2005.0,0.13,Rigel,0860,4.574699999999999e+31,54890730000.00001,149092362718.87497 m/s2
8,2MASS J1047538+212423 [de],Leo,15.8,34.4,7.974437234399999e+28,67202685.95399994,173387415388997.4 m/s2,1999.0,0.34,Procyon,0011.4,2.9835e+30,1321830000.0,16767396133707.723 m/s2
9,DEN 1048-3956,Antlia,17.4,13.15,1.46198015964e+29,76496674.437,245328023206523.94 m/s2,2000.0, 0.45,Betelgeuse,0640[1],3.978e+31,660915000000.0,894261127.1310782 m/s2
10,DENIS-P J1058.7−1548,Crater,14.155,49.0,1.21515234048e+29,71492219.1,233455421314617.62 m/s2,1997.0,0.46,Achernar,0144,1.33263e+31,6470010000.000001,3126010793432.678 m/s2
11,Cha 110913-773444,Chamaeleon,21.59,163.0,1.5189404256e+28,128685994.37999994,9006767797631.861 m/s2,2005.0,0.61,Hadar,0390,2.08845e+31,5983020000.0,5728935915343.348 m/s2
12,2MASS J11145133−2618235,Hydra,15.86,18.2,6.265629255599999e+28,68632530.33599994,130615724409016.84 m/s2,2005.0,0.76,Altair,0017,3.5802e+30,1252260000.0,22418629645438.84 m/s2
13,2MASS J11544223-3400390 [de],Hydra,14.2,129.0,7.0250994684e+28,107238328.64999999,59985073532228.14 m/s2,2003.0,0.76,Acrux,0320,3.5801999999999996e+31,6191730000.0,9170099741348.545 m/s2
14,2MASSW J1155395-372735 [de],Centaurus,12.8,31.0,1.21515234048e+29,71492219.1,233455421314617.62 m/s2,2002.0,0.86,Aldebaran,0065,2.9835e+30,30610800000.0,31265650848.49425 m/s2
15,2MASSI J1217110-031113 [de],Virgo,15.86,36.0,7.974437234399999e+28,67202685.95399994,173387415388997.4 m/s2,1999.0,0.96,Antares,0600,2.3868e+31,473076000000.0,1047237024.9599459 m/s2
16,2M 1237+6526,Draco,16.05,45.6,7.784569681199999e+28,67202685.95399994,169259143594021.25 m/s2,2003.0,0.97,Spica,0260,2.2734269999999998e+31,5196879000.0,8265832384876.564 m/s2
17,SDSSp J125453.90-012247.4 [de],Virgo,14.9,38.0,8.9237750004e+28,70062374.71799994,178512937346858.25 m/s2,2000.0,1.14,Pollux,0034,3.7790999999999997e+30,6122160000.000001,990078943535.6508 m/s2
18,SDSSp J132629.82-003831.5 [de],Virgo,16.1,65.0,9.6832452132e+28,69347452.52699994,197720043426598.2 m/s2,2000.0,1.16,Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,23664109070185.438 m/s2
19,SDSSp J134646.45-003150.4 [de],Virgo,16.0,48.0,8.3541723408e+28,67202685.95399994,181643958978949.7 m/s2,2000.0,1.25,Deneb,"2,600",3.7791e+31,141227100000.0,18605574847.09671 m/s2
20,SDSS J141659.78+500626.4 [de],Boötes,22.0,149.0,1.12021856388e+29,70777296.90899992,219586487628215.1 m/s2,2006.0,1.25,Mimosa,0350,3.1824e+31,5843880000.0,9150461079770.955 m/s2
21,DENIS-P J142527.97-365023.4 [de],Centaurus,14.0,38.0,3.987218617199999e+28,94369729.212,43963820086581.09 m/s2,2004.0,1.39,Regulus,0077,7.558199999999999e+30,2156670000.0,15956652109760.838 m/s2
22,2MASS J14482563+1031590 [de],Boötes,15.0,47.0,1.12021856388e+29,70777296.90899992,219586487628215.1 m/s2,2003.0,1.50,Adhara,0430,2.48625e+31,9739800000.0,2573567178685.581 m/s2
23,CFBDSIR 1458+10A,Boötes,19.83,104.0,2.10752984052e+28,107238328.64999999,17995522059668.445 m/s2,2010.0,1.62,Shaula,0700,2.88405e+31,6122160000.000001,7555865621719.442 m/s2
24,CFBDSIR 1458+10B,Boötes,21.85,104.0,1.7088079788e+28,92939884.82999994,19425839421519.613 m/s2,2010.0,1.62,Castor,0052,5.5692e+30,1669680000.0,19616300939758.98 m/s2
25,2MASSW J1506544+132106 [de],Boötes,13.0,46.0,1.3100861170799998e+29,72922063.482,241920536432931.7 m/s2,2000.0,1.64,Gacrux,0088,2.9835e+30,58438800000.0,8578557262.285273 m/s2
26,2MASS 1507−1627,Libra,19.0,23.9,1.1392053192e+29,70777296.90899992,223308292503269.53 m/s2,2000.0,1.64,Bellatrix,0240,1.7105399999999998e+31,4035060000.0,10316301632324.414 m/s2
27,2MASSW J1515008+484742 [de],Boötes,14.0,34.0,1.08224505324e+29,70777296.90899992,212142877878106.06 m/s2,2003.0,1.65,Elnath,0130,9.945e+30,2921940000.0,11438076349713.691 m/s2
28,2MASSI J1526140+204341 [de],Serpens,16.0,67.0,1.02528478728e+29,70062374.71799994,205099970568730.78 m/s2,2000.0,1.69,Miaplacidus,0110,6.9615e+30,4730760000.0,3054441322799.8423 m/s2
29,DENIS-P J153941.96-052042.4 [de],Libra,14.0,51.0,1.19616558516e+29,71492219.1,229807680356576.75 m/s2,2004.0,1.69,Alnilam,"2,000",6.3648e+31,29219400000.0,732036886381.6764 m/s2
30,2MASS J15462718-3325111 [de],Lupus,16.0,37.0,8.3541723408e+28,67202685.95399994,181643958978949.7 m/s2,2002.0,1.72,Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0,10088383340447.479 m/s2
31,2MASSW J1552591+294849 [de],Corona Borealis,13.0,68.0,5.696026596e+28,102233873.31299993,53514709150191.766 m/s2,2003.0,1.74,Alnair,0101,7.956e+30,2365380000.0,13963160332799.275 m/s2
32,2MASSW J1555157-095605 [de],Libra,13.0,44.0,1.3480596277199998e+29,73636985.673,244122545028658.62 m/s2,2002.0,1.77,Alioth,0081,5.7681e+30,2921940000.0,6634084282833.942 m/s2
33,2MASS J16150413+1340079 [de],Hercules,16.0,48.0,7.974437234399999e+28,67202685.95399994,173387415388997.4 m/s2,2007.0,1.77,Alnitak,01050,6.5637e+31,13914000000.0,3329166502347.6685 m/s2
34,2MASS J16262034+3925190 [de],Hercules,14.44,110.0,1.3480596277199998e+29,73636985.673,244122545028658.62 m/s2,2004.0,1.79,Dubhe,0120,8.453249999999999e+30,20871000000.0,190558351986.2301 m/s2
35,2MASSW J1632291+190441 [de],Hercules,22.0,50.0,9.3035101068e+28,69347452.52699994,189966316233398.25 m/s2,1999.0,1.80,Mirfak,0590,1.6906499999999999e+31,47307600000.0,74179289267.99615 m/s2
36,LSPM J1658+7027 [de],Draco,19.0,60.0,1.3860331383599998e+29,74351907.864,246195534335230.84 m/s2,2000.0,1.82,Wezen,"1,600",3.3812999999999997e+31,139140000000.0,17150251678.760712 m/s2
37,LSR J1835+3259,Lyra,18.27,18.5,1.46198015964e+29,76496674.437,245328023206523.94 m/s2,2003.0,1.84,Sargas,0270,1.13373e+31,18088200000.0,340259083080.18115 m/s2
38,2MASS J22282889-4310262,Grus,15.66,35.0,7.974437234399999e+28,67202685.95399994,173387415388997.4 m/s2,2013.0,1.85,Kaus Australis,0140,6.9615e+30,4730760000.0,3054441322799.8423 m/s2
39,WISE 0410+1502,Taurus,19.25,20.0,1.1392053191999999e+28,83645896.34699993,15988345202896.805 m/s2,2010.0,1.86,Avior,0630,1.7900999999999998e+31,90441000000.0,21490047352.432495 m/s2
40,WISE 0458+6434A,Camelopardalis,17.5,35.9,2.848013298e+28,300267320.22,3101820542551.7856 m/s2,2010.0,1.86,Alkaid,0104,1.2132899999999998e+31,2365380000.0,21293819507518.895 m/s2
41,WISE 0458+6434B,Camelopardalis,18.48,35.9,1.898675532e+28,271670432.5799999,2526136397535.251 m/s2,2010.0,1.90,Menkalinan,081,4.75371e+30,1927089000.0,12569555804803.646 m/s2
42,WISE 1405+5534,Ursa Major,20.2,25.3,5.696026596e+28,61483308.426,147961369309392.9 m/s2,2010.0,1.91,Atria,0390,1.3923e+31,64004400000.0,33373668895.6202 m/s2
